Country Code,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFW,LP.LPI.OVRL.XQ,,,,,,,,2.303333333,,,2.463888889,,2.448333333,,2.4518314,,2.349976842,,2.413333333,,,
AFW,CM.MKT.LCAP.GD.ZS,,,3.376613202,,,11.9414593,13.39327499,29.03920847,14.41811756,11.48766723,14.15156248,10.06486941,,16.76094183,12.50617731,11.72827765,,,,,12.9767118,
AFW,MS.MIL.XPND.GD.ZS,0.843197494,1.036905554,1.113995884,0.957290371,0.8883941,0.732512513,0.692776072,0.757327606,0.871846341,0.972806873,0.880388184,0.852291834,0.763744422,0.824640565,0.806713667,0.720279972,0.897884627,0.883373637,0.919129768,0.871354405,1.006795725,
AFW,IT.CEL.SETS.P2,0.53565571,1.060305573,2.11789336,3.363368146,6.544844787,11.2604703,19.07718537,25.41722172,37.43519724,45.05032321,53.13387086,59.25287866,68.29760995,76.34620664,81.72986151,86.70769269,86.32538724,84.6725609,94.21880758,94.63652266,99.61737975,
AFW,GC.NLD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,
AFW,EN.URB.LCTY.UR.ZS,28.13235264,28.01548332,27.89238124,27.76047316,27.63376585,27.30103861,26.93981688,26.54436203,26.18245396,25.88831549,25.58761434,25.31884209,25.10902867,24.91402972,24.7494333,24.60669611,24.47646405,24.35847125,24.2538707,24.11707459,23.99974506,23.90405433
AFW,GB.XPD.RSDV.GD.ZS,,,,,,,,0.151855608,,,,,,,,,,,,,,
AFW,IC.LGL.CRED.XQ,,,,,,,,,,,,,,5.409090909,5.409090909,5.590909091,5.681818182,5.863636364,5.863636364,5.863636364,,
AFW,GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,
AFW,IC.REG.DURS.FE,,,,45.46666667,43.86666667,59.6,59.9047619,55.9047619,55.04761905,50.9047619,49.9047619,37.71428571,35.85714286,29.42272727,25.51363636,25.26363636,24.29181818,17.99636364,17.83727273,15.35136364,,
AFW,IC.REG.DURS.MA,,,,45.33333333,43.73333333,59.45,59.76190476,55.76190476,54.85714286,50.71428571,49.71428571,37.52380952,35.66666667,29.24090909,25.33181818,25.08181818,24.11,17.81454545,17.65545455,15.16954545,,
AFW,IC.GOV.DURS.ZS,,,,,,,,,,,,,,,,,,,,,10.18235294,
AFW,IC.TAX.TOTL.CP.ZS,,,,,,78.35,82.6952381,80.65238095,79.93809524,79.67142857,78.34285714,61.07142857,60.61428571,57.54090909,48.23181818,48.93181818,50.55,50.47272727,50.69545455,52.05,,
AFW,SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,
